CODIGO_MESA;CANDIDATURA;ID_PAIS;PAIS;ID_DEPARTAMENTO;DEPARTAMENTO;CIRCUNSCRIPCION_ESPECIAL;ID_PROVINCIA;PROVINCIA;SECCION;MUNICIPIO;ID_LOCALIDAD;LOCALIDAD;ID_RECINTO;RECINTO;NUMERO_MESA;INSCRITOS_HABILITADOS;CREEMOS;ADN;MAS_IPSP;FPV;PAN_BOL;LIBRE_21;CC;JUNTOS;APG;CPEM_B;CIDOB;BIA_YUQUI;CONAMAQ;OICH;ORCAWETA;YAMINAWA;VOTO_VALIDO;VOTO_BLANCO;VOTO_NULO;VOTO_EMITIDO;VOTO_VALIDO_SISTEMA;VOTO_EMITIDO_SISTEMA
27061;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;266;Guanay                                  ;2467;Unidad Educativa Nacional Guanay;1;220;0;0;24;0;2;0;5;0;0;0;0;0;0;0;0;0;31;27;12;70;31;70
27062;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;266;Guanay                                  ;2467;Unidad Educativa Nacional Guanay;2;220;3;0;30;0;2;0;9;0;0;0;0;0;0;0;0;0;44;30;19;93;44;93
27063;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;266;Guanay                                  ;2467;Unidad Educativa Nacional Guanay;3;220;2;0;25;1;0;0;3;0;0;0;0;0;0;0;0;0;31;19;4;54;31;54
27064;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;266;Guanay                                  ;2467;Unidad Educativa Nacional Guanay;4;220;2;0;25;1;1;0;10;0;0;0;0;0;0;0;0;0;39;33;18;90;39;90
27065;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;266;Guanay                                  ;2467;Unidad Educativa Nacional Guanay;5;220;1;0;46;2;2;0;8;0;0;0;0;0;0;0;0;0;59;50;5;114;59;114
27066;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;266;Guanay                                  ;2467;Unidad Educativa Nacional Guanay;6;220;6;0;38;4;3;0;9;0;0;0;0;0;0;0;0;0;60;51;10;121;60;121
27067;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;266;Guanay                                  ;2467;Unidad Educativa Nacional Guanay;7;220;0;0;32;1;1;0;12;0;0;0;0;0;0;0;0;0;46;27;13;86;46;86
27068;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;266;Guanay                                  ;2467;Unidad Educativa Nacional Guanay;8;220;6;0;23;0;3;0;15;0;0;0;0;0;0;0;0;0;47;41;8;96;47;96
27069;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;266;Guanay                                  ;2467;Unidad Educativa Nacional Guanay;9;220;2;0;48;7;0;0;17;0;0;0;0;0;0;0;0;0;74;2;6;82;74;82
27070;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;266;Guanay                                  ;2467;Unidad Educativa Nacional Guanay;10;220;1;0;35;1;1;0;12;0;0;0;0;0;0;0;0;0;50;39;3;92;50;92
27071;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;266;Guanay                                  ;2467;Unidad Educativa Nacional Guanay;11;220;6;0;36;0;3;0;16;0;0;0;0;0;0;0;0;0;61;58;8;127;61;127
27072;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;266;Guanay                                  ;2467;Unidad Educativa Nacional Guanay;12;110;4;0;13;0;1;0;4;0;0;0;0;0;0;0;0;0;22;22;1;45;22;45
27073;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;266;Guanay                                  ;2514;Esc. C. Crespo;1;220;3;0;26;1;2;0;7;0;0;0;0;0;0;0;0;0;39;42;11;92;39;92
27074;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;266;Guanay                                  ;2514;Esc. C. Crespo;2;220;3;0;28;1;1;0;4;0;0;0;0;0;0;0;0;0;37;23;11;71;37;71
27075;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;266;Guanay                                  ;2514;Esc. C. Crespo;3;220;4;0;28;1;2;0;10;0;0;0;0;0;0;0;0;0;45;41;15;101;45;101
27076;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;266;Guanay                                  ;2514;Esc. C. Crespo;4;220;2;0;31;0;1;0;8;0;0;0;0;0;0;0;0;0;42;47;12;101;42;101
27077;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;266;Guanay                                  ;2514;Esc. C. Crespo;5;220;6;0;31;3;1;0;11;0;0;0;0;0;0;0;0;0;52;15;9;76;52;76
27078;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;266;Guanay                                  ;2514;Esc. C. Crespo;6;220;7;0;40;2;1;0;10;0;0;0;0;0;0;0;0;0;60;47;12;119;60;119
27079;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;266;Guanay                                  ;2514;Esc. C. Crespo;7;220;5;0;22;0;4;0;5;0;0;0;0;0;0;0;0;0;36;24;14;74;36;74
27080;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;266;Guanay                                  ;2514;Esc. C. Crespo;8;220;2;0;34;1;1;0;11;0;0;0;0;0;0;0;0;0;49;42;5;96;49;96
27081;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;266;Guanay                                  ;2514;Esc. C. Crespo;9;220;4;0;21;1;3;0;11;0;0;0;0;0;0;0;0;0;40;34;8;82;40;82
27082;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;266;Guanay                                  ;2514;Esc. C. Crespo;10;220;6;0;31;1;2;0;14;0;0;0;0;0;0;0;0;0;54;42;8;104;54;104
27083;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;266;Guanay                                  ;2514;Esc. C. Crespo;11;146;4;0;26;0;2;0;5;0;0;0;0;0;0;0;0;0;37;21;9;67;37;67
27084;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;267;Carura                                  ;25733;U.E. Carura B;1;220;3;0;113;4;3;0;13;0;0;0;0;0;0;0;0;0;136;54;16;206;136;206
27085;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;267;Carura                                  ;25733;U.E. Carura B;2;220;1;0;99;5;5;0;26;0;0;0;0;0;0;0;0;0;136;55;6;197;136;197
27086;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;267;Carura                                  ;25733;U.E. Carura B;3;175;1;0;90;4;3;0;7;0;0;0;0;0;0;0;0;0;105;40;14;159;105;159
27087;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;272;Santa Rosa de Challana                  ;25774;U. E. Santa Rosa De Challana;1;54;0;0;26;1;0;0;3;0;0;0;0;0;0;0;0;0;30;6;0;36;30;36
27092;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;286;Pajonal Vilaque                         ;2518;Escuela Pajonal Vilaque;1;204;6;0;60;4;7;0;11;0;0;0;0;0;0;0;0;0;88;55;44;187;88;187
27093;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;287;Mariapu                                 ;2515;Esc. Mariapu;1;119;1;0;38;3;7;0;13;0;0;0;0;0;0;0;0;0;62;31;26;119;62;119
27094;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;2995;La Aguada                               ;2139;La Aguada;1;220;6;0;69;7;8;0;23;0;0;0;0;0;0;0;0;0;113;55;33;201;113;201
27097;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;3204;Yolosani                                ;8018;Unidad Educativa Yolosani;1;103;0;0;58;1;0;0;6;0;0;0;0;0;0;0;0;0;65;30;2;97;65;97
27098;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;3225;Candelaria                              ;8016;Unidad Educativa Candelaria;1;220;6;0;112;1;4;0;12;0;0;0;0;0;0;0;0;0;135;41;17;193;135;193
